Ship Draw,Lerp Draw,Turret Draw,Planets Draw,Ship Update,Lerp Update,turret Update,planets update
0.00102361,2.26008e-005,0.000369831,0.000802122,2.62991e-005,1.64369e-006,3.69831e-006,4.10923e-007
0.000366544,4.10923e-006,2.83537e-005,0.000680078,3.41066e-005,1.64369e-006,3.28739e-006,0
0.000478315,3.69831e-006,2.95865e-005,0.000680489,4.15033e-005,2.05462e-006,3.69831e-006,4.10923e-007
0.000581457,4.10923e-006,2.91756e-005,0.000679256,4.8489e-005,1.23277e-006,3.28739e-006,4.10923e-007
0.000756921,3.69831e-006,3.04083e-005,0.000694871,5.71183e-005,2.05462e-006,3.69831e-006,0
0.000810341,3.69831e-006,2.87646e-005,0.000699802,6.32822e-005,1.64369e-006,3.69831e-006,0
0.000913072,3.28739e-006,2.83537e-005,0.000701446,7.06788e-005,2.05462e-006,3.28739e-006,4.10923e-007
0.00101169,3.28739e-006,2.83537e-005,0.000701035,7.80754e-005,1.64369e-006,3.69831e-006,0
0.00112305,3.28739e-006,2.95865e-005,0.000700624,8.5472e-005,1.64369e-006,3.28739e-006,4.10923e-007
0.00122784,3.69831e-006,2.87646e-005,0.000700213,9.24577e-005,1.64369e-006,3.28739e-006,0
0.0013466,3.28739e-006,2.79428e-005,0.000699392,9.94434e-005,2.05462e-006,3.69831e-006,4.10923e-007
0.00144809,3.69831e-006,2.95865e-005,0.000699392,0.000107251,2.87646e-006,3.69831e-006,0
0.00156521,3.69831e-006,2.95865e-005,0.000734731,0.000114648,2.05462e-006,3.69831e-006,0
0.00168068,3.69831e-006,2.91756e-005,0.000700213,0.000121222,2.05462e-006,3.69831e-006,4.10923e-007
0.00178793,3.69831e-006,2.99974e-005,0.000696926,0.000128208,2.05462e-006,3.69831e-006,4.10923e-007
0.00189395,3.69831e-006,2.99974e-005,0.000701857,0.000135605,2.05462e-006,3.69831e-006,4.10923e-007
0.00199051,3.69831e-006,2.95865e-005,0.000695282,0.000141769,1.64369e-006,3.69831e-006,4.10923e-007
0.00210393,3.69831e-006,2.91756e-005,0.000691995,0.000149987,1.64369e-006,4.10923e-006,0
0.00220378,3.69831e-006,2.91756e-005,0.000691173,0.000156562,2.05462e-006,3.69831e-006,0
0.00231637,3.69831e-006,2.91756e-005,0.000683366,0.000163958,1.64369e-006,3.28739e-006,4.10923e-007
0.00241869,3.69831e-006,2.87646e-005,0.000684187,0.000171766,2.05462e-006,3.69831e-006,4.10923e-007
0.00251649,3.69831e-006,2.83537e-005,0.000683776,0.00017793,2.05462e-006,3.69831e-006,0
0.0026184,3.69831e-006,2.95865e-005,0.000681311,0.00018697,1.64369e-006,3.28739e-006,4.10923e-007
0.00273593,3.69831e-006,2.87646e-005,0.000682955,0.00019149,1.23277e-006,3.28739e-006,4.10923e-007
0.00282921,3.69831e-006,2.87646e-005,0.000683366,0.000199709,1.64369e-006,3.28739e-006,4.10923e-007
0.00294714,3.69831e-006,2.79428e-005,0.000682133,0.000160671,1.64369e-006,3.69831e-006,4.10923e-007
0.00295536,3.69831e-006,2.87646e-005,0.000681722,0.000154096,1.64369e-006,3.69831e-006,4.10923e-007
0.00298823,4.10923e-006,2.83537e-005,0.000682955,0.000153685,1.64369e-006,3.69831e-006,4.10923e-007
0.0029796,3.69831e-006,2.87646e-005,0.000683776,0.000155329,2.05462e-006,3.69831e-006,0
0.0029644,3.69831e-006,2.87646e-005,0.000682544,0.000154096,1.64369e-006,3.69831e-006,0
0.00336752,3.69831e-006,2.95865e-005,0.000685831,0.000154096,1.64369e-006,3.28739e-006,4.10923e-007
0.00298823,3.28739e-006,2.87646e-005,0.000694871,0.00016478,2.87646e-006,5.342e-006,4.10923e-007
0.00296728,4.10923e-006,2.99974e-005,0.000682955,0.000154507,1.64369e-006,3.69831e-006,4.10923e-007
0.00300632,3.69831e-006,2.87646e-005,0.000687886,0.000153685,1.23277e-006,3.28739e-006,4.10923e-007
0.00328903,3.69831e-006,2.87646e-005,0.000686653,0.000153685,1.23277e-006,3.28739e-006,4.10923e-007
0.00327095,3.69831e-006,3.41066e-005,0.000701035,0.000154096,1.64369e-006,3.69831e-006,4.10923e-007
0.0029644,4.10923e-006,2.99974e-005,0.000683776,0.000154507,2.05462e-006,3.69831e-006,4.10923e-007
0.0029418,4.10923e-006,2.83537e-005,0.000682955,0.000154507,1.64369e-006,3.69831e-006,0
0.0029529,3.28739e-006,2.91756e-005,0.000689118,0.000155329,2.05462e-006,3.69831e-006,0
0.00463974,5.342e-006,4.64343e-005,0.00130057,0.00015574,2.46554e-006,4.10923e-006,4.10923e-007
0.00317397,3.69831e-006,2.87646e-005,0.000682544,0.000153685,2.05462e-006,3.69831e-006,0
0.00296399,3.69831e-006,2.87646e-005,0.000682133,0.000154918,2.05462e-006,3.28739e-006,4.10923e-007
0.0029833,4.10923e-006,2.95865e-005,0.000688708,0.000154507,1.64369e-006,3.28739e-006,4.10923e-007
0.00298248,4.10923e-006,2.95865e-005,0.000685009,0.000154096,2.05462e-006,3.69831e-006,4.10923e-007
0.00298166,3.69831e-006,2.91756e-005,0.000685831,0.000154096,1.64369e-006,3.69831e-006,0
0.00295742,4.10923e-006,2.91756e-005,0.000683366,0.000192723,1.64369e-006,3.69831e-006,4.10923e-007
0.00295659,3.69831e-006,2.87646e-005,0.000689118,0.000154507,1.64369e-006,3.69831e-006,0
0.00296194,3.69831e-006,2.91756e-005,0.000683366,0.000154507,1.64369e-006,3.69831e-006,4.10923e-007
0.002957,3.69831e-006,2.91756e-005,0.000683366,0.000154096,1.64369e-006,3.28739e-006,4.10923e-007
0.00296235,3.69831e-006,2.91756e-005,0.000683366,0.000154507,1.64369e-006,3.28739e-006,4.10923e-007
0.00504121,5.75293e-006,4.68453e-005,0.0012077,0.000154507,1.64369e-006,3.69831e-006,4.10923e-007
0.00297344,3.69831e-006,2.91756e-005,0.000684187,0.000154507,2.05462e-006,3.28739e-006,4.10923e-007
0.0029644,4.10923e-006,2.83537e-005,0.000684598,0.000153274,1.64369e-006,3.69831e-006,0
0.00295988,3.69831e-006,3.04083e-005,0.000683366,0.000156151,2.05462e-006,3.69831e-006,0
0.00298084,4.10923e-006,2.87646e-005,0.000683366,0.000155329,1.64369e-006,3.28739e-006,4.10923e-007
0.00296851,3.69831e-006,2.83537e-005,0.000682955,0.00015574,1.64369e-006,3.28739e-006,0
0.00294139,3.69831e-006,2.83537e-005,0.000693639,0.000155329,1.64369e-006,3.28739e-006,4.10923e-007
0.00294879,3.69831e-006,2.91756e-005,0.000686653,0.000147521,1.23277e-006,3.28739e-006,0
0.00281811,3.69831e-006,2.671e-005,0.000663641,0.000156973,1.64369e-006,3.28739e-006,4.10923e-007
0.00302275,3.69831e-006,2.87646e-005,0.000684598,0.000239568,2.05462e-006,4.52016e-006,0
0.00295372,4.10923e-006,2.83537e-005,0.000684187,0.000157384,1.64369e-006,3.28739e-006,4.10923e-007
0.00313329,3.69831e-006,3.08193e-005,0.000692406,0.00016026,1.64369e-006,3.69831e-006,4.10923e-007
0.00299933,3.69831e-006,2.91756e-005,0.000688297,0.000160671,1.64369e-006,3.69831e-006,4.10923e-007
0.0029529,3.69831e-006,2.87646e-005,0.000685831,0.00016026,1.64369e-006,3.69831e-006,0
0.00342463,3.69831e-006,2.95865e-005,0.000683776,0.000158616,1.64369e-006,3.28739e-006,4.10923e-007
0.00295536,4.10923e-006,2.87646e-005,0.000685009,0.000161493,2.05462e-006,3.69831e-006,4.10923e-007
0.00298002,3.69831e-006,2.91756e-005,0.000686653,0.000160671,2.05462e-006,3.69831e-006,0
0.00294714,3.69831e-006,2.79428e-005,0.000685009,0.00016026,1.64369e-006,3.69831e-006,0
0.00296646,4.10923e-006,2.95865e-005,0.000687064,0.000160671,1.64369e-006,3.69831e-006,4.10923e-007
0.00296358,3.69831e-006,3.28739e-005,0.000684598,0.000161082,2.05462e-006,3.69831e-006,0
0.00296481,3.69831e-006,2.87646e-005,0.00068542,0.000159849,1.64369e-006,3.69831e-006,0
0.00295248,3.69831e-006,2.95865e-005,0.000685009,0.000251896,1.64369e-006,3.28739e-006,0
0.0028966,3.69831e-006,2.83537e-005,0.000685009,0.000348052,1.23277e-006,3.28739e-006,4.10923e-007
0.00289208,3.69831e-006,2.83537e-005,0.00068542,0.000351339,1.64369e-006,3.69831e-006,0
0.00289742,3.69831e-006,2.79428e-005,0.000684187,0.000349696,1.23277e-006,3.69831e-006,0
0.00315877,4.93108e-006,2.95865e-005,0.000687886,0.00035175,1.64369e-006,3.28739e-006,4.10923e-007
0.00283537,3.69831e-006,2.83537e-005,0.000686653,0.000351339,1.23277e-006,3.28739e-006,4.10923e-007
0.00278113,3.28739e-006,2.62991e-005,0.000646793,0.000356271,1.64369e-006,3.28739e-006,0
0.00283455,3.69831e-006,2.75319e-005,0.000672681,0.000457769,1.64369e-006,3.69831e-006,4.10923e-007
0.00285962,3.69831e-006,2.91756e-005,0.000687475,0.000359147,1.64369e-006,3.69831e-006,0
0.00483246,5.75293e-006,4.31469e-005,0.00115387,0.000461467,1.64369e-006,3.28739e-006,4.10923e-007
0.00281195,4.10923e-006,2.83537e-005,0.000687475,0.00025806,2.05462e-006,3.28739e-006,4.10923e-007
0.00286003,3.69831e-006,2.91756e-005,0.000695282,0.000263402,2.05462e-006,3.28739e-006,4.10923e-007
0.0029718,4.10923e-006,2.83537e-005,0.000685831,0.000160671,1.23277e-006,3.69831e-006,4.10923e-007
0.0029607,4.10923e-006,2.83537e-005,0.000686242,0.000156973,2.05462e-006,3.28739e-006,0
0.00295659,3.69831e-006,3.61613e-005,0.000643506,0.000264224,1.64369e-006,3.28739e-006,0
0.00294879,4.10923e-006,2.83537e-005,0.000686653,0.000161493,1.64369e-006,3.28739e-006,0
0.00450988,3.69831e-006,2.91756e-005,0.000692817,0.000154507,1.64369e-006,3.69831e-006,4.10923e-007
0.00297303,3.69831e-006,2.87646e-005,0.000689529,0.000156973,1.64369e-006,3.69831e-006,0
0.00280003,3.69831e-006,2.87646e-005,0.00068994,0.000272031,1.23277e-006,3.28739e-006,4.10923e-007
0.00281893,3.69831e-006,2.87646e-005,0.000691995,0.000385446,1.23277e-006,3.28739e-006,0
0.00282345,3.69831e-006,2.75319e-005,0.000691995,0.000359147,1.23277e-006,2.87646e-006,4.10923e-007
0.00277743,3.28739e-006,2.62991e-005,0.000670627,0.000271209,1.23277e-006,2.87646e-006,4.10923e-007
0.00279921,3.69831e-006,2.62991e-005,0.000650903,0.000272442,1.23277e-006,3.28739e-006,4.10923e-007
0.00292947,3.69831e-006,2.83537e-005,0.000691173,0.00015574,1.23277e-006,3.28739e-006,0
0.00291961,3.69831e-006,2.58882e-005,0.000669805,0.000148754,1.23277e-006,2.87646e-006,4.10923e-007
0.00277907,3.69831e-006,2.671e-005,0.000652957,0.000277784,1.23277e-006,2.87646e-006,4.10923e-007
0.00285304,3.69831e-006,2.62991e-005,0.000670216,0.000269977,1.23277e-006,3.28739e-006,4.10923e-007
0.00290728,3.69831e-006,2.671e-005,0.000664874,0.000147111,1.23277e-006,3.28739e-006,4.10923e-007
0.0028777,3.28739e-006,2.671e-005,0.000670216,0.000262991,1.23277e-006,2.87646e-006,4.10923e-007
0.00285468,3.28739e-006,2.62991e-005,0.000651724,0.000154918,1.64369e-006,3.69831e-006,0
0.0028966,3.69831e-006,2.83537e-005,0.000668161,0.000280661,1.64369e-006,3.7394e-005,0
0.00294837,3.69831e-006,3.2052e-005,0.000692406,0.000411334,1.23277e-006,3.28739e-006,0
0.00284852,4.10923e-006,3.2052e-005,0.000692406,0.00028025,1.23277e-006,3.28739e-006,4.10923e-007
0.00294262,3.69831e-006,3.28739e-005,0.000705144,0.000155329,1.23277e-006,3.28739e-006,4.10923e-007
0.00287318,3.69831e-006,3.16411e-005,0.000692406,0.000286003,1.23277e-006,3.28739e-006,0
0.00288674,3.69831e-006,3.04083e-005,0.000652135,0.000161904,1.23277e-006,3.28739e-006,4.10923e-007
0.00301001,3.69831e-006,3.16411e-005,0.00072117,0.000288057,1.64369e-006,3.69831e-006,0
0.00293481,3.69831e-006,3.57503e-005,0.000692817,0.000288879,1.64369e-006,2.87646e-006,4.10923e-007
0.0029529,3.69831e-006,3.61613e-005,0.000690762,0.000300385,1.64369e-006,2.87646e-006,4.10923e-007
0.0029266,3.69831e-006,3.61613e-005,0.000692406,0.000155329,1.23277e-006,3.28739e-006,4.10923e-007
0.00275894,1.19168e-005,4.88999e-005,0.00064967,0.000156151,1.64369e-006,3.28739e-006,4.10923e-007
0.00294057,3.69831e-006,3.32848e-005,0.000684187,0.000291756,1.64369e-006,3.28739e-006,0
0.00282715,3.28739e-006,3.36957e-005,0.000687886,0.0001467,1.23277e-006,3.28739e-006,4.10923e-007
0.00285181,3.69831e-006,3.98596e-005,0.000715417,0.000297098,1.64369e-006,3.69831e-006,4.10923e-007
0.00297098,3.69831e-006,3.86268e-005,0.000680489,0.000290523,1.64369e-006,3.28739e-006,0
0.00299563,3.69831e-006,4.02705e-005,0.000692817,0.000299152,1.23277e-006,2.87646e-006,4.10923e-007
0.00291838,3.28739e-006,3.69831e-005,0.000653779,0.000159849,1.64369e-006,3.28739e-006,0
0.00277045,3.28739e-006,3.7394e-005,0.000708021,0.000298741,1.64369e-006,3.28739e-006,4.10923e-007
0.00284975,3.28739e-006,3.94486e-005,0.000651313,0.00015574,1.64369e-006,3.69831e-006,4.10923e-007
0.00296728,4.10923e-006,4.56125e-005,0.000698159,0.000156151,1.64369e-006,3.69831e-006,0
0.00295947,3.69831e-006,4.56125e-005,0.000692817,0.00015574,1.64369e-006,3.69831e-006,4.10923e-007
0.0029529,3.69831e-006,4.47906e-005,0.000692817,0.000156562,1.64369e-006,3.28739e-006,0
0.00295248,3.69831e-006,4.47906e-005,0.000691995,0.000147111,1.64369e-006,3.28739e-006,4.10923e-007
0.00295454,3.69831e-006,4.52016e-005,0.000691584,0.00015574,1.64369e-006,3.69831e-006,0
0.00294796,3.69831e-006,4.88999e-005,0.000691173,0.000304494,1.64369e-006,3.69831e-006,4.10923e-007
0.0029492,3.69831e-006,4.93108e-005,0.000691995,0.000309836,1.64369e-006,3.28739e-006,0
0.00295002,3.69831e-006,4.8489e-005,0.000691995,0.000162315,1.64369e-006,3.28739e-006,0
0.00301042,3.28739e-006,4.60234e-005,0.000707199,0.000464343,1.64369e-006,4.10923e-006,0
0.00294796,3.69831e-006,5.01326e-005,0.000690762,0.000311891,1.64369e-006,3.69831e-006,0
